detection_type,mass,radius,orbital_period,semi_major_axis,eccentricity,inclination,discovered,omega,star_distance,star_mass,star_radius,star_age,star_teff
Primary Transit,3.147,1.13,2.350621,0.03493,0.028,87.88,2018,,280.0,1.026,0.96,2.5,5587.0
Primary Transit,1.03,1.095,4.2180896,0.05798,,85.69,2018,,492.0,1.461,1.433,0.31,7175.0
Primary Transit,0.806,1.126,5.416081,0.06112,0.129,88.1,2018,227.0,654.0,1.038,1.036,4.3,5670.0
Primary Transit,0.237,0.912,4.763387,0.0542,0.019,89.3,2014,204.0,257.0,0.936,0.871,3.6,5304.0
Primary Transit,0.662,1.153,3.560829,0.04708,0.191,86.28,2018,,494.7,1.1,1.46,7.53,5690.0
Primary Transit,3.4,1.195,7.817953,0.07908,0.092,87.15,2018,,694.2,1.075,1.667,8.93,5541.0
Primary Transit,0.179,1.055,3.2768837,0.04163,0.298,87.92,2018,,515.9,0.911,0.923,8.0,5435.0
Primary Transit,0.96,1.207,3.0566527,0.04026,0.136,84.86,2018,,634.4,0.931,1.07,10.4,5626.0
Primary Transit,0.96,1.679,4.908897,0.06562,0.151,87.24,2018,,1087.0,1.562,2.113,1.86,6560.0
Primary Transit,0.821,1.501,3.105161,0.04497,0.062,84.82,2018,,491.0,1.269,1.296,1.42,6276.0
Primary Transit,5.33,1.411,3.1414391,0.04714,0.064,87.06,2018,,1542.0,1.406,1.851,2.29,6606.0
Primary Transit,1.45,1.685,1.6091788,0.03032,0.057,79.03,2018,,983.0,1.44,1.44,0.44,6605.0
Primary Transit,1.29,1.2321,3.5862202,0.05071,0.036,83.21,2018,,619.0,1.337,1.769,3.14,6122.0
Primary Transit,0.577,0.945,2.2252577,0.03211,0.519,88.49,2018,,420.3,0.892,0.8785,8.0,5137.0
Primary Transit,0.319,0.998,3.3252725,0.03623,,88.21,2014,,148.4,0.574,0.57,,3724.0
Primary Transit,12.9,1.384,1.8882378,0.03632,0.18,86.7,2018,,1307.0,1.78,1.88,0.81,7930.0
Primary Transit,0.45,1.08,3.7955213,0.03946,,88.85,2018,,140.68,0.569,0.5161,,3254.0
Primary Transit,0.1254,0.7224,7.3279474,0.066517,0.013,88.56,2020,,127.66,0.7311,0.7214,12.17,4656.1
Primary Transit,1.46,1.032,1.73185606,0.02384,0.044,87.9,2021,,286.6,0.6,0.5758,11.0,3776.9
Primary Transit,0.491,0.884,2.7886556,0.032742,0.064,88.7,2021,,195.3,0.6017,0.5848,14.9,3790.4
Primary Transit,2.629,1.079,1.9416423,0.02658,0.062,88.24,2021,,390.0,0.662,0.626,4.6,4016.0
Primary Transit,1.374,1.165,3.0876262,0.03607,0.045,88.44,2021,,414.0,0.655,0.643,12.1,4071.0
Primary Transit,0.12,0.563,3.185315,0.04012,0.0,87.92,2015,,257.0,0.849,0.815,7.8,4985.0
Primary Transit,0.138,0.873,3.583893,0.04667,0.38,87.8,2015,,829.0,1.056,1.086,5.1,5679.0
Primary Transit,0.839,1.236,1.915291,0.0312,0.129,86.5,2015,,654.36,1.1,1.56,10.8,5599.0
Primary Transit,,0.08529,4.46569,0.046,,87.78,2024,,12.8,0.653,0.63,6.88,4633.0
Primary Transit,,0.0883,6.20401,0.0573,,87.93,2024,,12.8,0.653,0.63,6.88,4633.0
Primary Transit,2.1,,1043.0,2.335,0.11,,2014,,,1.56,,,5034.0
Primary Transit,0.03964,0.218,9.55237,0.0907,0.093,87.54,2017,239.0,109.0,1.09,1.3,4.48,6327.0
Primary Transit,0.04782,0.388,21.05704,0.1536,0.22,88.61,2017,96.0,109.0,1.09,1.3,4.48,6327.0
Primary Transit,,0.14149,3.79523,0.0469,0.2,87.88,2020,190.0,64.6,0.853,0.894,5.8,5720.0
